Food_Item_ID,foodcode,foodname,Protein (g),Total Fat (g), Carbohydrate (g), Energy (kcal)
1476,28150210,"Fish diet frozen meal, with creamy spinach parmesan sauce",9.1198,2.45,4.2999,77
1477,28150220,"Fish diet frozen meal, with creamy parmesan sauce and broccoli",6.5899,1.6398,5.3399,62
1478,28150230,"Fish diet frozen meal, with peas and carrots",8.7699,8.05,7.6799,137
1479,28150510,"Fish frozen meal, with lemon-butter sauce, rice, and vegetable",5.5,3.75,11.27,102
1480,28150650,"Fish frozen meal, with breaded fish or fish sticks, pasta, vegetable and dessert",4.1299,7.3898,24.62,180
1481,28150810,"Scallops frozen meal, with potatoes and vegetable",11.05,6.79,15.47,160
1482,28152050,"Shrimp frozen meal, with rice and vegetable",4.19,1.21,16.35,94
1483,28153010,"Shrimp and clam marinara frozen meal, with noodles (Budget Gourmet)",7.7199,2.4599,12.1999,102
1484,28154010,Shrimp primavera diet frozen meal,5.25,1.71,13.51,95
1485,28160310,"Meat loaf frozen meal, with potatoes and vegetable (Banquet, Marie Callender's, Stouffer's)",6.61,7.4,9.65,131
1486,28160650,Stuffed green pepper frozen meal (Green Giant),4.8799,4.3799,9.2599,94
1487,28160660,Stuffed green pepper diet frozen meal (Weight Watchers),6.9699,2.58,9.15,87
1488,28160710,Stuffed cabbage diet frozen meal (Lean Cuisine),5.5499,3.1299,6.9299,78
1489,28310110,"Broth, beef",1.1398,0.22,0.04,7
1490,28310120,"Broth, beef, low sodium",2,0.6,1.2,16
1491,28310130,"Broth, beef, dry (bouillon)",15.97,8.89,23.6498,238
1492,28310140,"Broth, beef, dry (bouillon), low sodium",16.6999,13.89,64.8799,438
6005,28310150,Oxtail soup,1.11,1.01,3.54,28
6006,28310170,"Broth, beef, homemade",1.97,0.09,1.2,13
1493,28310220,"Chili beef soup, chunky style",6.94,2.7799,6.37,79
1494,28310230,"Meatball soup, Mexican style",6.8399,4.5998,9.89,107
1495,28310320,"Beef noodle soup, Puerto Rican style",5.8799,1.25,6.15,59
1496,28310330,"Beef and rice noodle soup, Oriental style (Vietnamese Pho Bo)",6.1398,2.24,10.34,88
1497,28311010,Pepperpot (tripe) soup,2.54,1.85,3.75,41
1498,28315100,"Beef vegetable soup with potato, stew type, chunky style",3.97,1.11,10.08,66
1499,28315110,"Beef noodle soup, chunky style",6.33,1.6799,5.4199,63
